id,country_code,year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",co2_emissions,forest_area
519,NLD,2022,100,100,132.9707,11.02966736
520,NLD,2023,,,122.8721,
521,NOR,2021,100,100,45.1013,33.45814918
522,NOR,2022,100,100,44.5559,33.47956186
523,NOR,2023,,,44.0652,
524,NPL,2021,,94.2,16.5911,41.59072201
525,NPL,2022,93.7,97.7,17.2219,41.59072201
526,NPL,2023,,,17.9338,
527,NRU,2021,100,100,0,0
528,NRU,2022,100,100,0,0
529,NRU,2023,,,0,
530,NZL,2021,100,100,35.2696,37.63065094
531,NZL,2022,100,100,34.6009,37.71936349
532,NZL,2023,,,35.7951,
533,OED,2021,100,99.98998234,11719.1275,32.92719796
534,OED,2022,100,99.97628342,11534.6164,32.94719456
535,OED,2023,,,11123.511,
536,OMN,2021,100,100,88.0745,0.007862036
537,OMN,2022,100,100,90.9704,0.007790307
538,OMN,2023,,,93.0942,
539,OSS,2021,91.90555652,96.34028142,84.9485,29.83810154
540,OSS,2022,92.32940712,95.96192832,84.8522,29.84687183
541,OSS,2023,,,85.2265,
542,PAK,2021,91.9,99.9,236.7437,4.779680365
543,PAK,2022,93,100,218.6802,4.726053342
544,PAK,2023,,,200.5101,
545,PAN,2021,,99.8,10.872,56.65170262
546,PAN,2022,100,99,11.9981,56.49785791
547,PAN,2023,,,14.7205,
548,PER,2021,83.6,98.9,53.2687,56.37307289
549,PER,2022,85.1,99,57.0113,56.23804773
550,PER,2023,,,58.4034,
551,PHL,2021,96.5,98.6,145.5867,24.22604554
552,PHL,2022,91.1,98,150.6387,24.34305933
553,PHL,2023,,,161.2883,
554,PLW,2021,100,100,1.329,90.19565217
555,PLW,2022,100,99.9,1.3981,90.36956522
556,PLW,2023,,,1.4396,
557,PNG,2021,14,65.2,5.5583,79.10221702
558,PNG,2022,14.2,65.1,5.8126,79.02817648
559,PNG,2023,,,5.9518,
560,POL,2021,100,100,323.8497,31.01927475
561,POL,2022,100,100,317.2919,31.05949231
562,POL,2023,,,286.9068,
563,PRE,2021,29.77758669,80.15894152,531.8256,25.6308376
564,PRE,2022,29.38458958,80.3376885,550.3403,25.4508767
565,PRE,2023,,,550.5341,
566,PRI,2021,100,100,12.6539,56.01127396
567,PRI,2022,100,100,12.6334,56.06651635
568,PRI,2023,,,13.8153,
569,PRK,2021,,,57.2745,49.90333029
570,PRK,2022,,,59.4652,49.72701603
571,PRK,2023,,,64.2745,
572,PRT,2021,100,100,39.1627,36.15499489
573,PRT,2022,100,100,39.4987,36.15499489
574,PRT,2023,,,36.1713,
575,PRY,2021,100,100,8.9595,39.82614322
576,PRY,2022,100,100,8.1787,39.25029356
577,PRY,2023,,,8.2539,
578,PSE,2021,100,100,,1.682987552
579,PSE,2022,100,100,,
580,PSS,2021,80.42302557,92.80367992,4.7238,68.57209665
581,PSS,2022,80.31834775,93.35945302,4.9793,68.65908028
582,PSS,2023,,,5.142,
583,PST,2021,99.99593402,99.99942807,10597.2184,32.29796044
584,PST,2022,99.99686496,99.99376214,10373.6647,32.30367874
585,PST,2023,,,9957.3304,
586,PYF,2021,100,100,1.1533,43.05963699
587,PYF,2022,100,100,1.2173,43.05963699
588,PYF,2023,,,1.259,
589,QAT,2021,100,100,117.966,0
590,QAT,2022,100,100,118.7298,0
591,QAT,2023,,,127.9079,
592,ROU,2021,100,100,80.4074,30.11582928
593,ROU,2022,100,100,75.9818,30.11582928
594,ROU,2023,,,70.7733,
595,RUS,2021,100,99.2,1957.9274,49.78433608
596,RUS,2022,100,99.1,2025.1436,49.78433608
597,RUS,2023,,,2069.502,
598,RWA,2021,38.2,98,1.6813,11.2282124
599,RWA,2022,38.2,98,1.6222,11.26874747
600,RWA,2023,,,1.646,
601,SAS,2021,98.27675257,99.8969875,2953.6578,18.86798865
