country_code,year,indicator_id,value
BTN,2021,17,77.5824483207755
BTN,2021,18,5.64558121219388
BTN,2021,38,0.179207097482928
BTN,2021,40,2.65821966747759
BOL,2021,1,36986126769.1183
BOL,2021,2,47700159112.337
BOL,2021,3,279206231813.687
BOL,2021,4,40406111695.179
BOL,2021,5,585.336059689315
BOL,2021,6,585.336059689315
BOL,2021,7,6.11137275205746
BOL,2021,8,3098.35062100148
BOL,2021,9,3995.87170968598
BOL,2021,10,23389.278015716
BOL,2021,11,3384.84486479247
BOL,2021,12,5.03525970053377
BOL,2021,13,18501.8544443398
BOL,2021,14,..
BOL,2021,15,..
BOL,2021,16,279206231813.687
BOL,2021,17,59.0213965631402
BOL,2021,18,5.987700640401
BOL,2021,38,0.193257613687593
BOL,2021,40,0.43985726005293
BIH,2021,1,19454671753.5435
BIH,2021,2,34308158000
BIH,2021,3,39145339000
BIH,2021,4,23672712242.2149
BIH,2021,5,114.099215119623
BIH,2021,6,114.099215119623
BIH,2021,7,7.38996234012757
BIH,2021,8,5995.44817572385
BIH,2021,9,10572.9248943036
BIH,2021,10,12063.6243195876
BIH,2021,11,7295.3438240957
BIH,2021,12,9.19171639031184
BIH,2021,13,50836.2489228149
BIH,2021,14,..
BIH,2021,15,..
BIH,2021,16,39145339000.0001
BIH,2021,17,96.4859085777747
BIH,2021,18,13.444950398351
BIH,2021,38,0.387359220758878
BIH,2021,40,0.471634730600031
BWA,2021,1,16560766198.0276
BWA,2021,2,187713545500
BWA,2021,3,207896582700
BWA,2021,4,18750946600.1423
BWA,2021,5,110.752040906925
BWA,2021,6,110.752040906925
BWA,2021,7,11.9206365085117
BWA,2021,8,6896.17866856924
BWA,2021,9,78167.0444953676
BWA,2021,10,86571.5970952441
BWA,2021,11,7808.20623956293
BWA,2021,12,10.2639466852064
BWA,2021,13,54143.8978116347
BWA,2021,14,..
BWA,2021,15,..
BWA,2021,16,207896582699.999
BWA,2021,17,88.7551314233315
BWA,2021,18,8.55568645837665
BWA,2021,38,0.152931131536012
BWA,2021,40,0.295898276706959
BRA,2021,1,1843881120012.46
BRA,2021,2,4206933577300
BRA,2021,3,9012142000000
BRA,2021,4,1670647399034.67
BRA,2021,5,214.221162145944
BRA,2021,6,214.221162145944
BRA,2021,7,4.76260437908608
BRA,2021,8,8799.22945854927
BRA,2021,9,20076.0089475226
BRA,2021,10,43007.0596799067
BRA,2021,11,7972.53665048385
BRA,2021,12,4.3179316171849
BRA,2021,13,41904.8315214843
BRA,2021,14,..
BRA,2021,15,..
BRA,2021,16,9012141999999.99
BRA,2021,17,37.6563307568833
BRA,2021,18,5.38238300565086
BRA,2021,38,0.133585609934118
BRA,2021,40,0.763404742957637
VGB,2021,1,..
VGB,2021,2,..
VGB,2021,3,..
VGB,2021,4,..
VGB,2021,5,..
VGB,2021,6,..
VGB,2021,7,..
VGB,2021,8,..
VGB,2021,9,..
VGB,2021,10,..
VGB,2021,11,..
VGB,2021,12,..
VGB,2021,13,..
VGB,2021,14,..
VGB,2021,15,..
VGB,2021,16,..
VGB,2021,17,..
VGB,2021,18,..
VGB,2021,38,..
VGB,2021,40,..
BRN,2021,1,13215632370.1015
BRN,2021,2,19007756823.4471
BRN,2021,3,18822028195.7988
BRN,2021,4,14006496614.3195
BRN,2021,5,99.0228798202048
BRN,2021,6,99.0228798202048
BRN,2021,7,-1.59076248075436
BRN,2021,8,29256.1832859253
BRN,2021,9,42078.5325974376
BRN,2021,10,41667.3747640663
BRN,2021,11,31006.9636220576
BRN,2021,12,-2.5312383018266
BRN,2021,13,163716.818724286
BRN,2021,14,..
BRN,2021,15,..
BRN,2021,16,18822028195.7988
BRN,2021,17,147.123112663177
BRN,2021,18,7.83374471044816
BRN,2021,38,0.275732125295004
BRN,2021,40,0.0488644759154256
BGR,2021,1,59718632534.0491
BGR,2021,2,130509836000
BGR,2021,3,139601966000
BGR,2021,4,84417951260.8091
BGR,2021,5,106.966624339333
BGR,2021,6,106.966624339333
BGR,2021,7,7.78061481406978
BGR,2021,8,8682.88223826466
BGR,2021,9,18975.6779222486
BGR,2021,10,20297.6421189335
BGR,2021,11,12274.0775950496
BGR,2021,12,8.6624492700559
BGR,2021,13,65362.4475392296
BGR,2021,14,..
BGR,2021,15,..
BGR,2021,16,139601966000
BGR,2021,17,121.157354617771
BGR,2021,18,20.6722500834981
BGR,2021,38,0.227367726444871
BGR,2021,40,0.171861677306964
BFA,2021,1,16396850182.5889
BFA,2021,2,9694009638300
BFA,2021,3,10922877001000
BFA,2021,4,19697516284.3787
BFA,2021,5,112.676564275786
BFA,2021,6,112.676564275786
BFA,2021,7,6.94252492572348
BFA,2021,8,745.472563435144
BFA,2021,9,440732.100040904
BFA,2021,10,496601.787986611
BFA,2021,11,895.535288442991
BFA,2021,12,4.43100540861892
BFA,2021,13,9340.84417934237
BFA,2021,14,..
BFA,2021,15,..
BFA,2021,16,10922877001000
BFA,2021,17,62.4203586607795
BFA,2021,18,10.0078703072852
BFA,2021,38,0.108470244816416
BFA,2021,40,4.68280095373394
BDI,2021,1,3318099327.75908
BDI,2021,2,1840892791700
BDI,2021,3,6612792676100
BDI,2021,4,2775798697.46022
BDI,2021,5,359.216609783849
BDI,2021,6,359.216609783849
BDI,2021,7,3.09999999870627
BDI,2021,8,255.917950730796
BDI,2021,9,141984.149427237
BDI,2021,10,510030.648002955
BDI,2021,11,214.091455416133
BDI,2021,12,0.329205802983878
BDI,2021,13,1999.13154786218
BDI,2021,14,..
BDI,2021,15,..
BDI,2021,16,6612792676099.99
BDI,2021,17,28.8186599995439
BDI,2021,18,14.2892755423436
BDI,2021,38,0.081804819947906
BDI,2021,40,13.9570339894077
CPV,2021,1,1793627260.88123
CPV,2021,2,178260890100
CPV,2021,3,191268854000
CPV,2021,4,2051842609.64558
CPV,2021,5,107.297149639892
CPV,2021,6,107.297149639892
CPV,2021,7,7.03353010694514
CPV,2021,8,3471.6553421786
CPV,2021,9,345032.875511227
CPV,2021,10,370210.440744103
CPV,2021,11,3971.4440744985
CPV,2021,12,6.62540765957627
CPV,2021,13,22342.4985170955
CPV,2021,14,..
CPV,2021,15,..
CPV,2021,16,191268854000
CPV,2021,17,77.4550586265341
CPV,2021,18,25.1415899005443
CPV,2021,38,0.250008553262983
CPV,2021,40,0.477725971600605
KHM,2021,1,32909177695.673
KHM,2021,2,129879828910300
KHM,2021,3,150792682537500
KHM,2021,4,36790163687.4421
KHM,2021,5,116.101694776364
KHM,2021,6,116.101694776364
KHM,2021,7,3.08984284148661
KHM,2021,8,1938.76436741728
KHM,2021,9,7651555.03629162
KHM,2021,10,8883585.07388079
KHM,2021,11,2167.40324198499
KHM,2021,12,1.57862051550094
KHM,2021,13,11356.7801844852
KHM,2021,14,..
KHM,2021,15,..
KHM,2021,16,150792682537500
KHM,2021,17,146.179846509715
KHM,2021,18,7.46657837266433
KHM,2021,38,0.15876644870112
KHM,2021,40,0.789446513603084
CMR,2021,1,38854942334.5769
CMR,2021,2,23123523858900
CMR,2021,3,24960500000000
CMR,2021,4,45011937346.8384
CMR,2021,5,107.944187712518
CMR,2021,6,107.944187712518
CMR,2021,7,3.33885747179505
CMR,2021,8,1443.57600237663
CMR,2021,9,859107.287964916
CMR,2021,10,927356.383572776
CMR,2021,11,1672.32657340872
CMR,2021,12,0.631351991581198
CMR,2021,13,13249.3626608424
CMR,2021,14,..
CMR,2021,15,..
CMR,2021,16,24960499999999.9
CMR,2021,17,36.7308347188558
CMR,2021,18,8.96293676377452
CMR,2021,38,0.0792987558182508
CMR,2021,40,2.57962248017974
CAN,2021,1,1696305710720.04
CAN,2021,2,2169212340000
CAN,2021,3,2517123000000
CAN,2021,4,2007472181464.15
CAN,2021,5,116.038570940455
CAN,2021,6,116.038570940455
CAN,2021,7,5.28695689105889
CAN,2021,8,44359.6167266713
CAN,2021,9,56726.465868184
CAN,2021,10,65824.5803384656
CAN,2021,11,52496.8441693242
CAN,2021,12,4.70538205187351
CAN,2021,13,111321.564577871
CAN,2021,14,..
CAN,2021,15,..
CAN,2021,16,2517123000000
CAN,2021,17,62.4241644131018
CAN,2021,18,11.9253477375397
CAN,2021,38,0.25972578699841
CAN,2021,40,0.0680306464521413
CSS,2021,1,37206309803.7798
CSS,2021,2,..
CSS,2021,3,..
CSS,2021,4,37091445807.6818
CSS,2021,5,..
CSS,2021,6,..
CSS,2021,7,10.4429558184008
CSS,2021,8,11957.2574201257
CSS,2021,9,..
CSS,2021,10,..
CSS,2021,11,11920.3427576157
CSS,2021,12,9.76743703209577
CSS,2021,13,51532.0363640961
CSS,2021,14,..
CSS,2021,15,..
CSS,2021,16,..
CSS,2021,17,..
CSS,2021,18,39.8783038674325
CSS,2021,38,0.15214795422921
CSS,2021,40,0.643725434954577
CYM,2021,1,5418352633.41053
CYM,2021,2,4515275800
CYM,2021,3,5050001900
CYM,2021,4,6060026520.10608
CYM,2021,5,111.842601065476
CYM,2021,6,111.842601065476
CYM,2021,7,4.90492941270442
CYM,2021,8,77285.7966767064
CYM,2021,9,64404.5729445998
CYM,2021,10,72031.7495863525
CYM,2021,11,86438.445257404
CYM,2021,12,2.77415090691775
CYM,2021,13,..
CYM,2021,14,..
CYM,2021,15,..
CYM,2021,16,5050001899.99998
CYM,2021,17,..
CYM,2021,18,80.3047942465393
CYM,2021,38,0.0650371365019597
CYM,2021,40,0
CAF,2021,1,2024497026.49048
CAF,2021,2,778062172300
CAF,2021,3,1395475563300
CAF,2021,4,2516498412.46384
CAF,2021,5,179.352706374979
CAF,2021,6,179.352706374979
CAF,2021,7,0.982919996264229
CAF,2021,8,396.020622931961
CAF,2021,9,152200.108037793
CAF,2021,10,272975.012871423
CAF,2021,11,492.263142830507
CAF,2021,12,-0.705468755505223
CAF,2021,13,3241.95484832648
CAF,2021,14,..
CAF,2021,15,..
CAF,2021,16,1395475563300
CAF,2021,17,44.159119995104
CAF,2021,18,..
CAF,2021,38,0.0534556122108795
CAF,2021,40,9.49214772137022
CEB,2021,1,1576853751533.48
CEB,2021,2,..
CEB,2021,3,..
CEB,2021,4,1926804401016.02
CEB,2021,5,..
CEB,2021,6,..
CEB,2021,7,6.53215013007072
CEB,2021,8,15667.0787666085
CEB,2021,9,..
CEB,2021,10,..
CEB,2021,11,19144.0685537317
CEB,2021,12,8.01300678977776
CEB,2021,13,86336.780737217
CEB,2021,14,..
CEB,2021,15,..
CEB,2021,16,..
CEB,2021,17,125.533292884421
CEB,2021,18,22.0453407202647
CEB,2021,38,0.174598009451885
CEB,2021,40,0.213207424554586
TCD,2021,1,10236539498.7594
TCD,2021,2,5256852452200
TCD,2021,3,6532361000000
TCD,2021,4,11779981332.8631
TCD,2021,5,124.263731185116
TCD,2021,6,124.263731185116
TCD,2021,7,-1.16918700397552
TCD,2021,8,574.17448671329
TCD,2021,9,294860.441737683
TCD,2021,10,366404.58669216
TCD,2021,11,660.747192555507
TCD,2021,12,-4.51520294952013
TCD,2021,13,5556.54487699875
TCD,2021,14,..
TCD,2021,15,..
TCD,2021,16,6532360999999.99
TCD,2021,17,82.984776867047
TCD,2021,18,..
TCD,2021,38,0.0722574980158722
TCD,2021,40,4.57787415477362
CHI,2021,1,10716796137.8499
CHI,2021,2,9210015950.83737
CHI,2021,3,8112256861.365
CHI,2021,4,11157002972.5829
CHI,2021,5,88.080812288142
CHI,2021,6,88.0808122881421
CHI,2021,7,9.93680136363695
CHI,2021,8,64272.1114653859
CHI,2021,9,55235.4606895567
CHI,2021,10,48651.8424464589
CHI,2021,11,66912.1750054447
CHI,2021,12,9.60318202892023
CHI,2021,13,..
CHI,2021,14,..
CHI,2021,15,..
CHI,2021,16,8112256861.36501
CHI,2021,17,..
CHI,2021,18,..
CHI,2021,38,..
CHI,2021,40,..
CHL,2021,1,273436873982.626
CHL,2021,2,199204138426300
CHL,2021,3,239561981379100
CHL,2021,4,315515014838.539
CHL,2021,5,120.259540425025
CHL,2021,6,120.259540425025
CHL,2021,7,11.3339570691911
CHL,2021,8,14053.8743826368
CHL,2021,9,10238523.7849175
CHL,2021,10,12312801.6500488
CHL,2021,11,16216.5706467899
CHL,2021,12,10.8435032426686
CHL,2021,13,68127.0139854389
CHL,2021,14,..
CHL,2021,15,..
CHL,2021,16,239561981379099
CHL,2021,17,64.8384472541565
CHL,2021,18,7.66415884174051
CHL,2021,38,0.157147694916594
CHL,2021,40,0.642780125199411
CHN,2021,1,15851276922873.1
CHN,2021,2,109919790043400
