id,country_code,year,access_to_clean_water,"Government expenditure on education, total (% of GDP)",unemployment_rate,"Unemployment, total (% of total labor force) (national estimate)"
371,LAO,2021,100.0,1.85949182510376,2.066,
372,LAO,2022,100.0,1.46083438396454,1.209,1.209
373,LAO,2023,,1.23375165462494,1.188,
374,LBN,2021,100.0,,12.669,
375,LBN,2022,100.0,,11.6,
376,LBN,2023,,,11.543,
377,LBR,2021,29.8,2.11186790466309,3.845,
378,LBR,2022,31.8,2.27609586715698,2.977,
379,LBR,2023,,,2.933,
380,LBY,2021,70.2,,19.641,
381,LBY,2022,70.0,,19.282,
382,LBY,2023,,,18.753,
383,LCA,2021,100.0,,20.514,20.514
384,LCA,2022,100.0,3.69847011566162,15.934,15.934
385,LCA,2023,,,11.092,12.094
386,LCN,2021,98.2756263192893,4.16809344291687,9.15752048997139,9.27236398495309
387,LCN,2022,98.5788713134359,3.79476308822632,6.91530046339274,6.94738631157158
388,LCN,2023,,,6.20743027327999,6.15985508925149
389,LDC,2021,56.1055373553461,3.11079275608063,5.75302416584841,
390,LDC,2022,56.7048565352677,3.23824501037598,5.08844456845939,
391,LDC,2023,,,4.94642314711997,
392,LIC,2021,44.9719731908846,3.94350361824036,5.70873263357671,
393,LIC,2022,45.1134101816937,3.76730716228485,5.07394035163588,
394,LIC,2023,,,4.9067296311379,
395,LIE,2021,100.0,,,
396,LIE,2022,100.0,,,
397,LKA,2021,100.0,1.50650584697723,4.981,4.981
398,LKA,2022,100.0,1.20397222042084,4.528,4.528
399,LKA,2023,,1.82774567604065,5.997,
400,LMC,2021,90.59021272637,3.32718992233276,6.0122012019493,6.16477114112827
401,LMC,2022,90.5967778011066,3.44491457939148,4.8436880217257,4.76042778375827
402,LMC,2023,,,4.4022140714888,
403,LMY,2021,89.4849996139745,3.82175827026367,6.19361989007564,6.39774136817258
404,LMY,2022,89.4252588465316,3.59078752994538,5.45251358879628,
405,LMY,2023,,,5.05976552198271,
406,LSO,2021,50.4,7.50747919082642,18.23,
407,LSO,2022,50.0,6.43347549438477,16.688,
408,LSO,2023,,6.69212198257446,16.457,
409,LTE,2021,99.4116791707221,4.38569402694702,5.49510544394083,5.84684780938588
410,LTE,2022,99.4771761425239,4.05402755737305,5.1827288093095,
411,LTE,2023,,,4.80560627805011,
412,LTU,2021,100.0,4.25490999221802,7.112,7.112
413,LTU,2022,100.0,,5.955,5.956
414,LTU,2023,,,6.841,6.841
415,LUX,2021,100.0,3.71989011764526,5.571,5.571
416,LUX,2022,100.0,4.70302200317383,4.588,4.588
417,LUX,2023,,,5.184,5.184
418,LVA,2021,100.0,4.61546993255615,7.513,7.513
419,LVA,2022,100.0,,6.815,6.815
420,LVA,2023,,,6.465,6.465
421,MAC,2021,100.0,5.10697984695435,2.229,
422,MAC,2022,100.0,6.18937015533447,2.482,
423,MAC,2023,,,2.235,
424,MAF,2021,100.0,,,
