id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
494,NAC,2023,23852818786502.6,29871321614401.4,2.7623120819851,3.59839135378053,28.5264942550064,6.94718771405119
495,NAM,2021,10707646943.9364,12402486183.6396,3.60382919248703,1.5343303300027,83.5443030923624,13.6295534843406
496,NAM,2022,11280470086.908,12567271004.6761,5.34966408559102,6.44785295155228,99.1081598746768,16.4120230334987
497,NAM,2023,11749736035.6202,12351025066.9131,4.159985754998,6.41362439275798,109.610472332402,24.6312325545853
498,NCL,2021,,10071349663.8484,-2.09999999762849,4.82764312949604,,
499,NCL,2022,,9623318718.31459,3.49999999631376,3.84571494150525,,
500,NER,2021,12821067681.4111,14915002436.069,1.38359636198477,3.11864597184903,37.0158935503713,9.96780688191743
501,NER,2022,14346774735.5026,15433852712.2963,11.9000000000277,4.01899997944746,31.3325137050778,10.3786787856377
502,NER,2023,14705444103.8902,16819170420.5653,2.49999999999999,3.38791792310056,30.4205057831798,
503,NGA,2021,518476715283.896,440833635873.827,3.64718654072446,10.1310336867347,,4.54889712712904
504,NGA,2022,535335926240.996,477403400101.174,3.25168140827093,11.3113349413983,,4.96106142701472
505,NGA,2023,550647684655.998,363846332834.618,2.86021499108364,12.6218692275514,,6.07883615278454
506,NIC,2021,14193856859.1735,14144060853.1362,10.3160912841791,3.54283387393042,106.695198216544,13.5089997257495
507,NIC,2022,14726450786.5827,15649897116.8965,3.75228475736668,8.77765225788374,115.339373850037,17.0710387425844
508,NIC,2023,15399335188.1835,17829218219.3591,4.56922317096145,10.6686540407565,104.868727663386,15.1335855941809
509,NLD,2021,872809728969.262,1054472123449.6,6.27683073230526,2.74734323804928,163.154842689698,44.7505843563603
510,NLD,2022,916513359627.026,1046540797548.64,5.00723459045037,6.15557492580412,184.107484252682,47.6751570268522
511,NLD,2023,917196718601.978,1154361305398.06,0.0745607216494903,7.343742684744,165.905457011481,47.0747301615739
512,NOR,2021,420836044228.583,503367986030.268,3.90868677689417,20.2134754838135,71.2227137759599,16.5538878562586
513,NOR,2022,433484840343.081,593726965415.619,3.00563516076298,28.1618243830717,82.6051865827872,18.4329201669746
514,NOR,2023,435564038441.666,485310823603.662,0.479647246011822,-10.6191584030873,79.6659319223642,22.8831445463835
515,NPL,2021,31325711777.1674,36924841394.2605,4.838149614115,6.76271216331268,43.0538047912219,6.39796401858321
516,NPL,2022,33089761145.0969,41182939600.67,5.63131455871746,8.24119195323605,48.9734014798843,7.9766821646747
517,NPL,2023,33735853500.29,40908073366.8455,1.95254463264347,5.41614518486134,41.6374947112488,9.61698541713114
518,NRU,2021,96978233.3230252,175513984.500084,7.20659466591439,18.0815764631453,110.560319021551,48.2136303641377
519,NRU,2022,99909532.5822959,156803087.302496,3.02263627499464,-10.8014231608239,164.734798471964,64.1702576352729
520,NRU,2023,100499697.867484,154170289.321861,0.590699675931191,5.37381833304376,141.359846842275,61.1639063097546
521,NZL,2021,210717394654.719,253644079784.977,4.54624763852878,4.57816245517681,48.5496455680671,9.2962858510381
522,NZL,2022,216564470789.24,246733522841.353,2.7748426484212,5.58708755877011,54.0869189811484,11.6456553353089
523,NZL,2023,218152542756.614,252175506110.168,0.733302171674978,4.75854916721366,51.0238621116228,13.8513342124201
524,OED,2021,52800277379962.5,59169601457959.2,5.92118433083402,2.76592557001649,55.7269603221793,14.2402643308885
525,OED,2022,54401582671069.4,60691333186116.5,3.0327592402281,6.50717150976458,63.1580202595915,15.7571295198895
526,OED,2023,55392228453809.7,64746562052056.7,1.82098706342816,6.00873959915159,58.650031480014,16.1246476456656
527,OMN,2021,82318780120.4001,87323797139.1417,2.5821749892893,12.1410502759484,92.0240648081963,13.0831485029373
528,OMN,2022,90202537058.2429,111943823146.944,9.5771061309605,16.9897185502658,100.584539895545,13.7153995940221
529,OMN,2023,91384587286.8628,108810923276.983,1.3104401130721,-4.05592540343423,,16.521827263515
530,OSS,2021,182882529288.149,212298327078.213,7.09373306348044,3.10055552394109,147.72239694216,64.4209091126182
531,OSS,2022,191819718347.122,228425738381.928,4.886846815691,7.26892420151597,163.80644023053,66.8526119200271
532,OSS,2023,197385978553.433,241086470734.391,2.90181856916189,3.82970232014782,151.549103075457,69.4224155800372
533,PAK,2021,381973779235.3,348516647445.148,6.51388575852702,10.2673420806694,27.030421558764,4.91544553913919
534,PAK,2022,400224894618.857,374890295666.694,4.7781068690358,13.9370112392938,33.031353478032,4.85678802851381
535,PAK,2023,400066035261.282,337912301397.727,-0.0396925228069165,25.9997683355601,28.6003112461277,5.08485870054201
536,PAN,2021,63238418924.7981,67396392500.0,16.4671249191559,1.41511725950885,80.1334635232887,21.9423446031626
537,PAN,2022,70048985344.8611,76276116700.0,10.769665870619,2.17180785976841,93.687178754867,27.330126573827
538,PAN,2023,75232121007.6293,83318176900.0,7.39930155626219,1.70673831397947,89.5330683837851,28.1183665101894
539,PER,2021,217085487224.893,226354278280.885,13.3552295093079,10.0831018285055,55.2742548782987,5.94511163169057
540,PER,2022,223002152647.317,246488757636.211,2.72550021563363,4.76646193670118,57.2510734358091,7.46549913739662
541,PER,2023,221775234260.737,267603248655.253,-0.55018230632048,6.56634363134418,50.909508314535,7.08423017795812
542,PHL,2021,378998555004.406,394087359848.11,5.71473313426225,2.2824784602486,63.4846098136712,13.4744722237564
543,PHL,2022,407730367724.121,404353369604.631,7.58098212785563,5.48864820202009,72.4296836107599,16.4085100782592
